Series name,Row ID,music
-70,0,2.0
-70,1,2.0
-70,2,2.0
-70,27,359.0
-70,28,359.0
-70,29,355.0
-70,30,357.0
-70,31,355.0
-70,32,355.0
-70,33,353.0
-70,34,356.0
-70,35,1.0
-70,36,1.0
-70,62,4.0
-70,63,3.0
-70,64,3.0
-70,65,3.0
-70,67,4.0
-70,68,4.0
-70,69,4.0
-70,70,4.0
-70,71,4.0
-70,72,4.0
-70,97,357.0
-70,98,357.0
-70,99,357.0
-70,100,356.0
-70,101,355.0
-70,102,355.0
-70,103,356.0
-70,104,358.0
-70,105,359.0
-70,106,359.0
-70,107,359.0
-70,132,359.0
-70,133,359.0
-70,134,359.0
-70,135,359.0
-70,136,359.0
-70,137,359.0
-70,138,359.0
-70,139,359.0
-70,140,359.0
-70,141,359.0
-70,167,358.0
-70,168,358.0
-70,169,358.0
-70,170,358.0
-70,171,357.0
-70,173,357.0
-70,174,357.0
-70,175,357.0
-70,176,357.0
-70,177,357.0
-70,202,358.0
-70,203,358.0
-70,205,358.0
-70,206,358.0
-70,207,358.0
-70,208,358.0
-70,209,358.0
-70,210,358.0
-70,211,358.0
-70,237,359.0
-70,238,359.0
-70,239,359.0
-70,240,359.0
-70,241,359.0
-70,242,359.0
-70,243,359.0
-70,244,359.0
-70,245,359.0
-70,246,359.0
-70,271,359.0
-70,272,359.0
-70,273,359.0
-70,274,359.0
-70,275,359.0
-70,276,358.0
-70,277,358.0
-70,278,358.0
-70,279,358.0
-70,280,358.0
-70,281,358.0
-70,307,359.0
-70,308,359.0
-70,309,359.0
-70,311,356.0
-70,312,356.0
-70,313,357.0
-70,314,357.0
-70,315,359.0
-70,316,1.0
-70,341,359.0
-70,342,359.0
-70,343,359.0
-70,344,358.0
-70,345,358.0
-70,346,358.0
-70,347,358.0
-70,348,358.0
-70,349,358.0
-70,350,358.0
-70,351,358.0
-70,376,358.0
-70,377,358.0
-70,378,358.0
-70,379,358.0
-70,380,358.0
-70,381,358.0
-70,382,358.0
-70,383,358.0
-70,384,358.0
-70,385,358.0
-70,411,358.0
-70,412,358.0
-70,413,358.0
-70,414,358.0
-70,415,358.0
-70,416,359.0
-70,417,358.0
-70,418,357.0
-70,419,357.0
-70,420,357.0
-70,421,356.0
-70,445,0.0
-70,446,0.0
-70,447,0.0
-70,448,2.0
-70,449,1.0
-70,450,355.0
-70,451,356.0
-70,452,0.0
-70,453,3.0
-70,454,0.0
-70,455,358.0
-70,481,359.0
-70,482,358.0
-70,483,358.0
-70,484,358.0
-70,485,357.0
-70,486,357.0
-70,487,357.0
-70,488,358.0
-70,489,358.0
-70,490,358.0
-70,515,358.0
-70,516,358.0
-70,517,358.0
-70,518,358.0
-70,519,357.0
-70,520,357.0
-70,521,358.0
-70,522,358.0
-70,523,357.0
-70,524,358.0
-70,525,358.0
-70,551,359.0
-70,552,359.0
-70,553,0.0
-70,554,359.0
-70,555,359.0
-70,557,359.0
-70,558,359.0
-70,560,359.0
-70,585,354.0
-70,586,354.0
-70,587,354.0
-70,588,354.0
-70,589,354.0
-70,590,354.0
-70,591,354.0
-70,592,354.0
-70,593,355.0
-70,594,355.0
-70,595,355.0
-70,620,354.0
