%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1624274487815605553,height,4,32,width,4,8,imag,2,2,0,7.68771144521e-08,0.0,2.86289498774e-08,-4.25320267894e-09,-4.05918569868e-08,-3.99726687306e-08,5.85890269633e-09,-9.19066280858e-08,2.86289498774e-08,4.25320267894e-09,3.91584990211e-06,0.0,-1.08969359758e-07,-1.70308723568e-07,1.78918178051e-08,-3.61534773674e-07,-4.05918569868e-08,3.99726687306e-08,-1.08969359758e-07,1.70308723568e-07,4.69909673484e-06,0.0,5.03044532252e-07,5.01931310737e-07,5.85890269633e-09,9.19066280858e-08,1.78918178051e-08,3.61534773674e-07,5.03044532252e-07,-5.01931310737e-07,5.31610521648e-06,0.0
1624274487912593804,height,4,32,width,4,8,imag,2,2,0,7.55441362799e-08,0.0,3.23873692309e-08,-2.68574107398e-10,-4.03602378185e-08,-3.29808145239e-08,8.77145378553e-09,-8.86407676148e-08,3.23873692309e-08,2.68574107398e-10,3.89175829696e-06,0.0,-1.27145156625e-07,-1.30708812662e-07,5.7057903291e-08,-3.31780910301e-07,-4.03602378185e-08,3.29808145239e-08,-1.27145156625e-07,1.30708812662e-07,4.68751341032e-06,0.0,4.96332688726e-07,5.64291553928e-07,8.77145378553e-09,8.86407676148e-08,5.7057903291e-08,3.31780910301e-07,4.96332688726e-07,-5.64291553928e-07,5.27935617356e-06,0.0
1624274488030207969,height,4,32,width,4,8,imag,2,2,0,7.61218927892e-08,0.0,3.1708779602e-08,5.398712144e-09,-4.15059027148e-08,-3.59643692605e-08,4.93669816137e-09,-9.71965192775e-08,3.1708779602e-08,-5.398712144e-09,3.89348133467e-06,0.0,-1.39794408938e-07,-1.2544334993e-07,6.20172997401e-08,-4.01557542773e-07,-4.15059027148e-08,3.59643692605e-08,-1.39794408938e-07,1.2544334993e-07,4.68670850751e-06,0.0,4.44573004188e-07,6.07302013123e-07,4.93669816137e-09,9.71965192775e-08,6.20172997401e-08,4.01557542773e-07,4.44573004188e-07,-6.07302013123e-07,5.39925076737e-06,0.0
1624274488158936907,height,4,32,width,4,8,imag,2,2,0,7.47515116473e-08,0.0,3.10800558623e-08,-5.41368824769e-11,-3.72088635459e-08,-3.36389476274e-08,1.97819383096e-09,-8.81779484985e-08,3.10800558623e-08,5.41368824769e-11,3.9259721234e-06,0.0,-1.31964014827e-07,-1.30220385586e-07,7.27110673893e-08,-3.3507475905e-07,-3.72088635459e-08,3.36389476274e-08,-1.31964014827e-07,1.30220385586e-07,4.65892389911e-06,0.0,4.86002875277e-07,4.97896678553e-07,1.97819383096e-09,8.81779484985e-08,7.27110673893e-08,3.3507475905e-07,4.86002875277e-07,-4.97896678553e-07,5.31653222424e-06,0.0
1624274488293425897,height,4,32,width,4,8,imag,2,2,0,7.60363718655e-08,0.0,2.75791478543e-08,-1.21010890197e-09,-4.21511039406e-08,-3.18573931679e-08,5.43671774267e-09,-9.2043052291e-08,2.75791478543e-08,1.21010890197e-09,3.8922312342e-06,0.0,-9.68561266745e-08,-1.1716763737e-07,7.6383805947e-08,-3.73239771534e-07,-4.21511039406e-08,3.18573931679e-08,-9.68561266745e-08,1.1716763737e-07,4.66560095447e-06,0.0,4.57479586657e-07,5.81107144626e-07,5.43671774267e-09,9.2043052291e-08,7.6383805947e-08,3.73239771534e-07,4.57479586657e-07,-5.81107144626e-07,5.35510844202e-06,0.0
1624274488413702119,height,4,32,width,4,8,imag,2,2,0,7.55161977395e-08,0.0,3.51675915056e-08,-1.01085868842e-10,-4.15249701291e-08,-3.31719967051e-08,1.00405435077e-08,-9.47977483179e-08,3.51675915056e-08,1.01085868842e-10,3.92454785469e-06,0.0,-1.23650892192e-07,-1.43961827348e-07,3.9153167819e-08,-3.63104362577e-07,-4.15249701291e-08,3.31719967051e-08,-1.23650892192e-07,1.43961827348e-07,4.63415062768e-06,0.0,5.21793367625e-07,5.12459678248e-07,1.00405435077e-08,9.47977483179e-08,3.9153167819e-08,3.63104362577e-07,5.21793367625e-07,-5.12459678248e-07,5.27224574398e-06,0.0
1624274488542097661,height,4,32,width,4,8,imag,2,2,0,7.59422107421e-08,0.0,3.81550790962e-08,5.19782084041e-09,-4.28610071879e-08,-3.25194804418e-08,8.80890294042e-09,-9.93374200675e-08,3.81550790962e-08,-5.19782084041e-09,3.94100561607e-06,0.0,-1.3895697748e-07,-1.12785208728e-07,5.63054562974e-08,-3.9851684619e-07,-4.28610071879e-08,3.25194804418e-08,-1.3895697748e-07,1.12785208728e-07,4.73506315757e-06,0.0,4.07889700682e-07,5.48495791008e-07,8.80890294042e-09,9.93374200675e-08,5.63054562974e-08,3.9851684619e-07,4.07889700682e-07,-5.48495791008e-07,5.34526179763e-06,0.0
1624274488670084763,height,4,32,width,4,8,imag,2,2,0,7.59429923392e-08,0.0,2.72465463524e-08,-3.73771102957e-09,-3.89947309998e-08,-3.5537187415e-08,2.9053608408e-09,-9.63076516314e-08,2.72465463524e-08,3.73771102957e-09,3.93439495383e-06,0.0,-1.21046539903e-07,-1.44466937968e-07,7.45065023011e-08,-3.50319595555e-07,-3.89947309998e-08,3.5537187415e-08,-1.21046539903e-07,1.44466937968e-07,4.67812697025e-06,0.0,4.78810250115e-07,5.57497799036e-07,2.9053608408e-09,9.63076516314e-08,7.45065023011e-08,3.50319595555e-07,4.78810250115e-07,-5.57497799036e-07,5.33369120603e-06,0.0
1624274488798306008,height,4,32,width,4,8,imag,2,2,0,7.44205266301e-08,0.0,3.20645305862e-08,1.39778999486e-09,-4.03643838354e-08,-3.21362847444e-08,3.29192295645e-09,-9.18951741369e-08,3.20645305862e-08,-1.39778999486e-09,3.87769841836e-06,0.0,-1.01742010372e-07,-1.17374099773e-07,6.15001312099e-08,-3.94079734178e-07,-4.03643838354e-08,3.21362847444e-08,-1.01742010372e-07,1.17374099773e-07,4.6935838327e-06,0.0,5.20843286722e-07,5.16531542871e-07,3.29192295645e-09,9.18951741369e-08,6.15001312099e-08,3.94079734178e-07,5.20843286722e-07,-5.16531542871e-07,5.41932331544e-06,0.0
1624274488926080696,height,4,32,width,4,8,imag,2,2,0,7.56629390253e-08,0.0,3.12104901923e-08,-1.61683033628e-09,-4.21090895486e-08,-3.40461063786e-08,7.07664549182e-09,-9.02698999994e-08,3.12104901923e-08,1.61683033628e-09,3.94319386032e-06,0.0,-9.07998227717e-08,-1.66229327192e-07,6.38712691625e-08,-3.71091346096e-07,-4.21090895486e-08,3.40461063786e-08,-9.07998227717e-08,1.66229327192e-07,4.75035039926e-06,0.0,4.45255466275e-07,5.38222536761e-07,7.07664549182e-09,9.02698999994e-08,6.38712691625e-08,3.71091346096e-07,4.45255466275e-07,-5.38222536761e-07,5.31527166459e-06,0.0
