%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1625002697242892863,height,4,32,width,4,8,imag,2,2,0,8.04790971642e-08,0.0,2.64832600294e-08,2.47939557774e-09,-3.40879253713e-08,-3.9599935775e-08,1.171185815e-08,-8.64950280288e-08,2.64832600294e-08,-2.47939557774e-09,3.93953541789e-06,0.0,-1.65966326904e-07,-1.48123191934e-07,6.44346513923e-08,-3.86631882066e-07,-3.40879253713e-08,3.9599935775e-08,-1.65966326904e-07,1.48123191934e-07,4.62864318251e-06,0.0,4.09449540939e-07,4.7818218718e-07,1.171185815e-08,8.64950280288e-08,6.44346513923e-08,3.86631882066e-07,4.09449540939e-07,-4.7818218718e-07,5.20694766237e-06,0.0
1625002697361292934,height,4,32,width,4,8,imag,2,2,0,8.09593885265e-08,0.0,3.62311887159e-08,-9.28894072771e-10,-3.52634010881e-08,-3.46822588426e-08,4.30700985987e-09,-8.2574686644e-08,3.62311887159e-08,9.28894072771e-10,3.92026731788e-06,0.0,-1.27696651475e-07,-1.28043339487e-07,6.31896028835e-08,-3.49940506794e-07,-3.52634010881e-08,3.46822588426e-08,-1.27696651475e-07,1.28043339487e-07,4.68431835543e-06,0.0,4.44130819233e-07,4.62807292934e-07,4.30700985987e-09,8.2574686644e-08,6.31896028835e-08,3.49940506794e-07,4.44130819233e-07,-4.62807292934e-07,5.25690529685e-06,0.0
1625002697489643694,height,4,32,width,4,8,imag,2,2,0,7.88972300825e-08,0.0,2.48067699715e-08,-2.4864965642e-09,-3.66557095788e-08,-3.95493131577e-08,1.28648007802e-08,-8.22031012149e-08,2.48067699715e-08,2.4864965642e-09,3.89101023757e-06,0.0,-1.23045637679e-07,-1.11898309285e-07,5.14275022567e-08,-3.62246993291e-07,-3.66557095788e-08,3.95493131577e-08,-1.23045637679e-07,1.11898309285e-07,4.66823394163e-06,0.0,4.10996165101e-07,5.12118333518e-07,1.28648007802e-08,8.22031012149e-08,5.14275022567e-08,3.62246993291e-07,4.10996165101e-07,-5.12118333518e-07,5.25269297214e-06,0.0
1625002697604998529,height,4,32,width,4,8,imag,2,2,0,8.12292881847e-08,0.0,2.65106390174e-08,-6.72799760348e-10,-3.63379797363e-08,-3.27891349627e-08,1.17854463966e-08,-8.6865334481e-08,2.65106390174e-08,6.72799760348e-10,3.93879463445e-06,0.0,-1.16490724622e-07,-1.78635275461e-07,6.47955360478e-08,-3.60183605608e-07,-3.63379797363e-08,3.27891349627e-08,-1.16490724622e-07,1.78635275461e-07,4.6598361223e-06,0.0,4.26966096256e-07,5.04645242927e-07,1.17854463966e-08,8.6865334481e-08,6.47955360478e-08,3.60183605608e-07,4.26966096256e-07,-5.04645242927e-07,5.31365049028e-06,0.0
1625002697734843478,height,4,32,width,4,8,imag,2,2,0,7.93788075271e-08,0.0,2.65869068983e-08,-6.27360075001e-09,-3.86845258049e-08,-3.64676253639e-08,7.66395302776e-09,-9.02391548152e-08,2.65869068983e-08,6.27360075001e-09,3.93208847527e-06,0.0,-1.34069509272e-07,-1.40771774682e-07,8.80258141933e-08,-3.32058277763e-07,-3.86845258049e-08,3.64676253639e-08,-1.34069509272e-07,1.40771774682e-07,4.66393566967e-06,0.0,3.98302006488e-07,5.01230090322e-07,7.66395302776e-09,9.02391548152e-08,8.80258141933e-08,3.32058277763e-07,3.98302006488e-07,-5.01230090322e-07,5.232760941e-06,0.0
1625002697861887640,height,4,32,width,4,8,imag,2,2,0,8.05191149311e-08,0.0,2.51048177802e-08,-4.07878042452e-09,-2.88483263944e-08,-3.16302504189e-08,5.87769699578e-09,-7.9597676006e-08,2.51048177802e-08,4.07878042452e-09,3.89789556721e-06,0.0,-1.06571540925e-07,-1.67557885788e-07,9.39523019383e-08,-3.09493543682e-07,-2.88483263944e-08,3.16302504189e-08,-1.06571540925e-07,1.67557885788e-07,4.67584050057e-06,0.0,4.43125429683e-07,4.35186848335e-07,5.87769699578e-09,7.9597676006e-08,9.39523019383e-08,3.09493543682e-07,4.43125429683e-07,-4.35186848335e-07,5.20751927979e-06,0.0
1625002698004270889,height,4,32,width,4,8,imag,2,2,0,8.03478954481e-08,0.0,2.95308595355e-08,-4.57779369967e-09,-2.7163411076e-08,-3.6438564166e-08,1.00036938733e-08,-8.10463092193e-08,2.95308595355e-08,4.57779369967e-09,3.9478677536e-06,0.0,-1.28178598402e-07,-1.31313512952e-07,7.72053070364e-08,-3.52997574282e-07,-2.7163411076e-08,3.6438564166e-08,-1.28178598402e-07,1.31313512952e-07,4.68823373012e-06,0.0,4.63088696279e-07,4.46432750323e-07,1.00036938733e-08,8.10463092193e-08,7.72053070364e-08,3.52997574282e-07,4.63088696279e-07,-4.46432750323e-07,5.25387576999e-06,0.0
1625002698127938013,height,4,32,width,4,8,imag,2,2,0,8.04089026474e-08,0.0,3.18762118923e-08,1.30508626128e-09,-3.36108421095e-08,-3.74576600848e-08,5.69180880206e-09,-8.2212530117e-08,3.18762118923e-08,-1.30508626128e-09,3.9549649955e-06,0.0,-9.28634378283e-08,-1.1405525413e-07,6.55162821772e-08,-3.15261644346e-07,-3.36108421095e-08,3.74576600848e-08,-9.28634378283e-08,1.1405525413e-07,4.70842132927e-06,0.0,4.49140571845e-07,4.95525398492e-07,5.69180880206e-09,8.2212530117e-08,6.55162821772e-08,3.15261644346e-07,4.49140571845e-07,-4.95525398492e-07,5.22410073245e-06,0.0
1625002698242213756,height,4,32,width,4,8,imag,2,2,0,8.02580473191e-08,0.0,3.08255501125e-08,-4.75432759828e-09,-3.10896091094e-08,-3.25133697743e-08,7.10063341458e-09,-8.35712299363e-08,3.08255501125e-08,4.75432759828e-09,3.93689015254e-06,0.0,-1.23319935597e-07,-9.92315634107e-08,7.97712544909e-08,-3.51861984882e-07,-3.10896091094e-08,3.25133697743e-08,-1.23319935597e-07,9.92315634107e-08,4.64871163786e-06,0.0,4.24365651952e-07,4.63627827685e-07,7.10063341458e-09,8.35712299363e-08,7.97712544909e-08,3.51861984882e-07,4.24365651952e-07,-4.63627827685e-07,5.25783252669e-06,0.0
1625002698371220098,height,4,32,width,4,8,imag,2,2,0,7.98650248157e-08,0.0,3.10170840123e-08,-1.24532473222e-08,-3.20768229756e-08,-3.47557680414e-08,1.27081967172e-09,-8.23718195875e-08,3.10170840123e-08,1.24532473222e-08,3.92739411836e-06,0.0,-9.25057079826e-08,-1.52883487203e-07,7.03147051695e-08,-3.49106016984e-07,-3.20768229756e-08,3.47557680414e-08,-9.25057079826e-08,1.52883487203e-07,4.7031539907e-06,0.0,4.1586153543e-07,4.56929200254e-07,1.27081967172e-09,8.23718195875e-08,7.03147051695e-08,3.49106016984e-07,4.1586153543e-07,-4.56929200254e-07,5.26590520167e-06,0.0
