%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1625183264989315661,height,4,32,width,4,8,imag,2,2,0,2.18198934476e-08,0.0,5.97219995679e-10,-3.36723515737e-09,-2.30257857226e-08,-6.25826945821e-09,-8.95673757384e-09,-6.7269239068e-09,5.97219995679e-10,3.36723515737e-09,3.92425545215e-06,0.0,7.64859819924e-08,-8.2014359748e-08,6.56283027922e-10,-4.15687928523e-09,-2.30257857226e-08,6.25826945821e-09,7.64859819924e-08,8.2014359748e-08,4.47858246844e-06,0.0,2.78042108448e-07,7.93533203591e-08,-8.95673757384e-09,6.7269239068e-09,6.56283027922e-10,4.15687928523e-09,2.78042108448e-07,-7.93533203591e-08,5.29619001099e-06,0.0
1625183265247091057,height,4,32,width,4,8,imag,2,2,0,2.17288356197e-08,0.0,5.57532232187e-12,-2.18903273286e-09,-2.03848493641e-08,-3.86959175813e-09,-9.3315017935e-09,-1.77228576259e-09,5.57532232187e-12,2.18903273286e-09,3.91368212149e-06,0.0,1.53402162084e-08,-7.81699185382e-08,5.01915664586e-09,-5.52136221188e-08,-2.03848493641e-08,3.86959175813e-09,1.53402162084e-08,7.81699185382e-08,4.40404437541e-06,0.0,2.53873878364e-07,4.58858195884e-08,-9.3315017935e-09,1.77228576259e-09,5.01915664586e-09,5.52136221188e-08,2.53873878364e-07,-4.58858195884e-08,5.21009405929e-06,0.0
1625183265520052245,height,4,32,width,4,8,imag,2,2,0,2.17124256352e-08,0.0,-2.82727574685e-09,-1.54024071275e-09,-2.12584279069e-08,-2.80812861853e-09,-1.09284101768e-08,-6.13004935701e-09,-2.82727574685e-09,1.54024071275e-09,3.94980406782e-06,0.0,4.86991957871e-08,-6.13675865679e-08,4.18724326323e-08,2.13155786355e-08,-2.12584279069e-08,2.80812861853e-09,4.86991957871e-08,6.13675865679e-08,4.385059583e-06,0.0,2.10410448176e-07,8.96943745943e-08,-1.09284101768e-08,6.13004935701e-09,4.18724326323e-08,-2.13155786355e-08,2.10410448176e-07,-8.96943745943e-08,5.22916752743e-06,0.0
1625183265776234379,height,4,32,width,4,8,imag,2,2,0,2.19209823626e-08,0.0,-4.79651374174e-10,-3.00500024863e-09,-2.15843822815e-08,-1.77454340111e-09,-8.30516455608e-09,-7.32922700308e-09,-4.79651374174e-10,3.00500024863e-09,3.93405252908e-06,0.0,5.881559062e-08,-8.44941752121e-08,-1.31130990511e-08,-3.75513664608e-08,-2.15843822815e-08,1.77454340111e-09,5.881559062e-08,8.44941752121e-08,4.43910130343e-06,0.0,1.57478254437e-07,8.75970229686e-08,-8.30516455608e-09,7.32922700308e-09,-1.31130990511e-08,3.75513664608e-08,1.57478254437e-07,-8.75970229686e-08,5.16486989e-06,0.0
1625183266018878649,height,4,32,width,4,8,imag,2,2,0,2.16588382784e-08,0.0,3.76746522868e-10,-2.36916464225e-09,-2.06390158297e-08,-2.89110158036e-09,-1.21876846393e-08,-7.53369633344e-09,3.76746522868e-10,2.36916464225e-09,3.9464512156e-06,0.0,6.05968821787e-08,-1.19579837587e-07,5.65706521627e-08,-3.40302399593e-08,-2.06390158297e-08,2.89110158036e-09,6.05968821787e-08,1.19579837587e-07,4.4030148274e-06,0.0,2.47091492156e-07,7.09687739686e-08,-1.21876846393e-08,7.53369633344e-09,5.65706521627e-08,3.40302399593e-08,2.47091492156e-07,-7.09687739686e-08,5.23919925399e-06,0.0
1625183266276881829,height,4,32,width,4,8,imag,2,2,0,2.19859490613e-08,0.0,-5.25898102843e-10,-1.50431078705e-09,-2.11774278114e-08,-4.22455226357e-09,-8.34474889189e-09,-2.27969754185e-09,-5.25898102843e-10,1.50431078705e-09,3.88998432754e-06,0.0,2.22299192387e-08,-7.74444472995e-08,-2.04813996874e-08,-1.08828883683e-08,-2.11774278114e-08,4.22455226357e-09,2.22299192387e-08,7.74444472995e-08,4.40441181127e-06,0.0,2.32762999985e-07,6.11719954691e-08,-8.34474889189e-09,2.27969754185e-09,-2.04813996874e-08,1.08828883683e-08,2.32762999985e-07,-6.11719954691e-08,5.15010970048e-06,0.0
1625183266531869146,height,4,32,width,4,8,imag,2,2,0,2.16348077231e-08,0.0,1.84338377895e-09,2.97031288454e-11,-1.92159337331e-08,-5.09468067733e-09,-8.85860185207e-09,-7.67304086935e-09,1.84338377895e-09,-2.97031288454e-11,3.92955689676e-06,0.0,6.11407813267e-08,-1.96538429975e-08,-6.90381529722e-09,-8.50173798028e-09,-1.92159337331e-08,5.09468067733e-09,6.11407813267e-08,1.96538429975e-08,4.45620617029e-06,0.0,2.48648007073e-07,8.37090681216e-08,-8.85860185207e-09,7.67304086935e-09,-6.90381529722e-09,8.50173798028e-09,2.48648007073e-07,-8.37090681216e-08,5.29233375346e-06,0.0
1625183266779709032,height,4,32,width,4,8,imag,2,2,0,0.00112571171485,0.0,0.00421770196408,0.014000586234,-0.00644184835255,0.0198286455125,-0.00493459636346,-0.00834962259978,0.00421770196408,-0.014000586234,0.190772294998,0.0,0.223484948277,0.155004143715,-0.121807649732,0.0298187993467,-0.00644184835255,-0.0198286455125,0.223484948277,-0.155004143715,0.390223741531,0.0,-0.11838734895,0.133934721351,-0.00493459636346,0.00834962259978,-0.121807649732,-0.0298187993467,-0.11838734895,-0.133934721351,0.0842297151685,0.0
1625183266932441150,height,4,32,width,4,8,imag,2,2,0,0.00108084490057,0.0,0.00500262062997,0.0137359211221,-0.00518876640126,0.0196883212775,-0.0053535848856,-0.00808348786086,0.00500262062997,-0.0137359211221,0.198504582047,0.0,0.227119863033,0.157639637589,-0.126930072904,0.0303524397314,-0.00518876640126,-0.0196883212775,0.227119863033,-0.157639637589,0.387504667044,0.0,-0.121069684625,0.135553762317,-0.0053535848856,0.00808348786086,-0.126930072904,-0.0303524397314,-0.121069684625,-0.135553762317,0.0875845104456,0.0
1625183267194606879,height,4,32,width,4,8,imag,2,2,0,0.00111128808931,0.0,0.00619934359565,0.0140428738669,-0.00395269040018,0.0203281268477,-0.00588623061776,-0.00731687666848,0.00619934359565,-0.0140428738669,0.212857574224,0.0,0.235769987106,0.163943216205,-0.124736316502,0.033325470984,-0.00395269040018,-0.0203281268477,0.235769987106,-0.163943216205,0.390007942915,0.0,-0.112453326583,0.133034780622,-0.00588623061776,0.00731687666848,-0.124736316502,-0.033325470984,-0.112453326583,-0.133034780622,0.079970061779,0.0
