Series name,Row ID,music
-70,3,325.0
-70,4,325.0
-70,5,326.0
-70,6,326.0
-70,7,13.0
-70,22,19.0
-70,23,19.0
-70,24,19.0
-70,25,19.0
-70,26,19.0
-70,42,20.0
-70,43,20.0
-70,44,21.0
-70,45,21.0
-70,46,21.0
-70,47,21.0
-70,61,20.0
-70,62,20.0
-70,63,19.0
-70,64,19.0
-70,65,19.0
-70,79,20.0
-70,80,20.0
-70,81,20.0
-70,82,20.0
-70,83,20.0
-70,99,20.0
-70,100,20.0
-70,101,20.0
-70,102,20.0
-70,103,20.0
-70,118,20.0
-70,119,20.0
-70,120,20.0
-70,121,20.0
-70,122,20.0
-70,137,21.0
-70,138,21.0
-70,139,21.0
-70,140,21.0
-70,141,21.0
-70,142,21.0
-70,143,21.0
-70,158,20.0
-70,159,20.0
-70,160,20.0
-70,161,20.0
-70,162,21.0
-70,163,20.0
-70,178,20.0
-70,179,20.0
-70,180,20.0
-70,181,20.0
-70,182,20.0
-70,198,20.0
-70,199,20.0
-70,200,20.0
-70,201,19.0
-70,202,20.0
-70,203,20.0
-70,204,20.0
-70,217,19.0
-70,218,19.0
-70,219,19.0
-70,220,19.0
-70,221,19.0
-70,222,19.0
-70,293,19.0
-70,294,19.0
-70,295,19.0
-70,296,19.0
-70,297,19.0
-70,312,19.0
-70,313,19.0
-70,314,19.0
-70,315,19.0
-70,316,19.0
-70,329,19.0
-70,330,19.0
-70,331,19.0
-70,332,19.0
-70,333,19.0
-70,334,19.0
-70,349,19.0
-70,350,19.0
-70,351,19.0
-70,352,19.0
-70,353,19.0
-70,369,20.0
-70,370,20.0
-70,371,20.0
-70,407,19.0
-70,408,16.0
-60,7,356.0
-60,8,339.0
-60,9,339.0
-60,10,339.0
-60,11,339.0
-60,12,339.0
-60,25,359.0
-60,26,338.0
-60,27,339.0
-60,28,339.0
-60,29,339.0
-60,30,339.0
-60,45,0.0
-60,46,339.0
-60,47,339.0
-60,48,339.0
-60,49,339.0
-60,64,1.0
-60,65,339.0
-60,66,339.0
-60,67,339.0
-60,68,339.0
-60,69,339.0
-60,82,358.0
-60,83,339.0
-60,84,339.0
-60,85,339.0
-60,86,339.0
-60,87,339.0
-60,100,1.0
-60,101,338.0
-60,102,338.0
-60,103,340.0
-60,104,340.0
-60,105,341.0
-60,119,5.0
-60,120,342.0
-60,121,342.0
-60,122,342.0
-60,123,343.0
-60,124,343.0
-60,137,2.0
-60,138,342.0
-60,139,342.0
-60,140,343.0
-60,141,343.0
-60,155,0.0
-60,156,343.0
-60,157,343.0
-60,158,343.0
-60,159,343.0
-60,160,343.0
-60,174,357.0
-60,175,343.0
-60,176,343.0
-60,177,343.0
-60,178,343.0
-60,179,343.0
-60,192,2.0
-60,193,343.0
-60,194,343.0
-60,195,343.0
-60,196,343.0
-60,210,1.0
-60,211,343.0
-60,212,343.0
-60,213,343.0
-60,214,343.0
-60,215,343.0
-60,228,7.0
-60,229,343.0
-60,230,343.0
-60,231,343.0
-60,232,343.0
-60,246,3.0
-60,247,343.0
-60,248,343.0
-60,249,343.0
-60,250,343.0
-60,264,5.0
-60,265,343.0
-60,266,343.0
-60,267,343.0
-60,268,343.0
-60,282,357.0
-60,283,343.0
-60,284,343.0
-60,285,343.0
-60,286,343.0
-60,287,343.0
-60,301,355.0
-60,302,343.0
-60,303,343.0
-60,304,343.0
-60,305,343.0
-60,318,0.0
-60,319,342.0
-60,320,342.0
-60,321,343.0
-60,322,342.0
-60,323,343.0
-60,336,342.0
-60,337,342.0
-60,338,342.0
-60,339,342.0
-50,6,333.0
-50,7,333.0
-50,8,333.0
-50,9,333.0
-50,10,333.0
-50,41,332.0
-50,42,332.0
-50,43,333.0
-50,44,333.0
-50,45,333.0
-50,46,333.0
-50,60,333.0
-50,61,333.0
-50,62,333.0
-50,63,333.0
-50,64,333.0
-50,78,333.0
-50,79,333.0
-50,80,333.0
-50,81,333.0
-50,82,333.0
-50,96,333.0
-50,97,333.0
-50,98,333.0
-50,99,333.0
-50,100,333.0
-50,114,333.0
-50,115,333.0
-50,116,333.0
-50,117,333.0
-50,118,333.0
-50,132,333.0
-50,133,333.0
-50,134,333.0
-50,135,333.0
-50,136,333.0
-50,137,333.0
-50,138,333.0
-50,139,333.0
-50,153,333.0
-50,154,333.0
-50,155,333.0
-50,156,333.0
-50,157,333.0
-50,170,333.0
-50,171,333.0
-50,172,333.0
-50,173,333.0
-50,174,333.0
-50,175,334.0
-50,189,333.0
-50,190,333.0
-50,191,333.0
-50,192,333.0
-50,193,333.0
-50,206,333.0
-50,207,333.0
-50,208,333.0
-50,209,333.0
-50,210,333.0
-50,211,333.0
-50,225,333.0
-50,226,333.0
-50,227,333.0
-50,228,333.0
-50,229,333.0
-50,230,333.0
-50,243,333.0
-50,244,333.0
-50,245,333.0
-50,246,333.0
-50,247,333.0
-50,263,332.0
-50,264,333.0
-50,265,333.0
-50,266,333.0
-50,267,333.0
-50,268,333.0
-50,281,333.0
-50,282,333.0
-50,283,333.0
-50,284,333.0
-50,285,333.0
-50,286,333.0
-50,287,333.0
-50,303,333.0
-50,304,333.0
-50,305,333.0
-50,306,333.0
-50,307,333.0
-50,308,333.0
-50,321,333.0
-50,322,333.0
-50,323,333.0
-50,324,333.0
-50,325,333.0
-40,10,332.0
-40,11,331.0
-40,12,331.0
-40,13,22.0
-40,14,22.0
-40,15,22.0
-40,16,22.0
-40,17,22.0
-40,18,22.0
-40,19,22.0
-40,44,22.0
-40,45,23.0
-40,46,23.0
-40,47,23.0
-40,48,23.0
-40,50,24.0
-40,51,23.0
-40,52,332.0
-40,53,332.0
-40,54,332.0
-40,79,20.0
-40,80,20.0
-40,81,20.0
-40,82,20.0
-40,83,20.0
-40,84,20.0
-40,85,20.0
-40,86,20.0
-40,87,331.0
-40,88,331.0
-40,89,331.0
-40,114,21.0
-40,115,21.0
-40,116,331.0
-40,117,331.0
-40,118,331.0
-40,119,331.0
-40,120,331.0
-40,121,331.0
-40,122,21.0
-40,123,21.0
-40,148,331.0
-40,150,332.0
-40,151,333.0
-40,152,332.0
-40,153,332.0
-40,154,332.0
-40,155,332.0
-40,156,332.0
-40,157,332.0
-40,158,332.0
-40,184,332.0
-40,185,332.0
-40,186,332.0
-40,187,332.0
