%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1630616621330576301,height,4,32,width,4,8,imag,2,2,0,8.12560119812e-06,0.0,1.07412678751e-09,4.96800964811e-08,1.73376886181e-08,-4.76602401989e-09,2.55909178293e-08,-3.81651936721e-08,1.07412678751e-09,-4.96800964811e-08,1.19091182569e-05,0.0,-1.50245526243e-07,-1.72811297716e-07,-3.49418360912e-09,-3.14481980013e-07,1.73376886181e-08,4.76602401989e-09,-1.50245526243e-07,1.72811297716e-07,1.26919321701e-05,0.0,5.12703422828e-07,4.6956620281e-07,2.55909178293e-08,3.81651936721e-08,-3.49418360912e-09,3.14481980013e-07,5.12703422828e-07,-4.6956620281e-07,1.33252970045e-05,0.0
1630616621450385916,height,4,32,width,4,8,imag,2,2,0,8.02107751952e-06,0.0,2.60816790387e-08,-1.62793636349e-08,-7.38329006822e-08,-3.69446127024e-08,1.14126965656e-08,-7.07588299065e-08,2.60816790387e-08,1.62793636349e-08,1.18879597721e-05,0.0,-1.45615260294e-07,-1.68510240428e-07,6.92014623382e-08,-3.17242410119e-07,-7.38329006822e-08,3.69446127024e-08,-1.45615260294e-07,1.68510240428e-07,1.25790302263e-05,0.0,4.73637044252e-07,5.90541958445e-07,1.14126965656e-08,7.07588299065e-08,6.92014623382e-08,3.17242410119e-07,4.73637044252e-07,-5.90541958445e-07,1.32309305627e-05,0.0
1630616621570998469,height,4,32,width,4,8,imag,2,2,0,8.0594627434e-06,0.0,3.23058984009e-08,5.15632407883e-08,-4.77642956298e-08,-1.21102658568e-07,3.34289715909e-08,-1.71013923023e-07,3.23058984009e-08,-5.15632407883e-08,1.1820868167e-05,0.0,-1.48457232285e-07,-1.01792203111e-07,1.01562115162e-07,-4.60634623778e-07,-4.77642956298e-08,1.21102658568e-07,-1.48457232285e-07,1.01792203111e-07,1.26412887766e-05,0.0,3.51548663957e-07,5.47445267784e-07,3.34289715909e-08,1.71013923023e-07,1.01562115162e-07,4.60634623778e-07,3.51548663957e-07,-5.47445267784e-07,1.34169958983e-05,0.0
1630616621692480652,height,4,32,width,4,8,imag,2,2,0,8.08682216302e-06,0.0,6.33117238635e-08,5.11205726639e-08,-3.26810614126e-08,-2.15850306517e-08,2.7033882688e-08,-6.7243348667e-08,6.33117238635e-08,-5.11205726639e-08,1.20280838019e-05,0.0,-8.84595934281e-08,-1.88454308159e-07,1.4013063776e-07,-3.63964687722e-07,-3.26810614126e-08,2.15850306517e-08,-8.84595934281e-08,1.88454308159e-07,1.26662434923e-05,0.0,4.78723450215e-07,5.24461711393e-07,2.7033882688e-08,6.7243348667e-08,1.4013063776e-07,3.63964687722e-07,4.78723450215e-07,-5.24461711393e-07,1.33528646984e-05,0.0
1630616621815971384,height,4,32,width,4,8,imag,2,2,0,8.05229956313e-06,0.0,3.06862690813e-09,1.49710466246e-08,-3.95882686632e-08,-1.2483786449e-08,2.55774885716e-08,-5.84023780448e-08,3.06862690813e-09,-1.49710466246e-08,1.18765146908e-05,0.0,-3.30914957658e-08,-1.08624867323e-07,1.14495051662e-07,-3.43380236245e-07,-3.95882686632e-08,1.2483786449e-08,-3.30914957658e-08,1.08624867323e-07,1.26235263451e-05,0.0,3.92262137439e-07,5.79297477543e-07,2.55774885716e-08,5.84023780448e-08,1.14495051662e-07,3.43380236245e-07,3.92262137439e-07,-5.79297477543e-07,1.32997547553e-05,0.0
1630616621938418333,height,4,32,width,4,8,imag,2,2,0,8.07234027889e-06,0.0,7.56345386321e-08,-1.75048811002e-08,-2.76322484893e-08,6.03489880291e-08,3.60127216936e-08,-7.16830044212e-08,7.56345386321e-08,1.75048811002e-08,1.18591669889e-05,0.0,-8.48491552574e-08,-2.5574760798e-07,2.20978062515e-08,-4.04048336122e-07,-2.76322484893e-08,-6.03489880291e-08,-8.48491552574e-08,2.5574760798e-07,1.27954763229e-05,0.0,5.20073683674e-07,5.71691089135e-07,3.60127216936e-08,7.16830044212e-08,2.20978062515e-08,4.04048336122e-07,5.20073683674e-07,-5.71691089135e-07,1.32081277116e-05,0.0
1630616622061782810,height,4,32,width,4,8,imag,2,2,0,8.11821882962e-06,0.0,3.19990007824e-08,-2.81872356567e-08,-6.0284342851e-08,-5.83165657986e-08,-5.29284029938e-08,-9.9217452032e-08,3.19990007824e-08,2.81872356567e-08,1.18625493997e-05,0.0,-1.06151944124e-07,-1.04687877922e-07,1.93728446618e-08,-4.33051241089e-07,-6.0284342851e-08,5.83165657986e-08,-1.06151944124e-07,1.04687877922e-07,1.27523053379e-05,0.0,4.28901358873e-07,5.61494402973e-07,-5.29284029938e-08,9.9217452032e-08,1.93728446618e-08,4.33051241089e-07,4.28901358873e-07,-5.61494402973e-07,1.34035972224e-05,0.0
1630616622184462648,height,4,32,width,4,8,imag,2,2,0,8.03569491836e-06,0.0,-1.63674300779e-08,-4.09441653915e-08,-7.58119824695e-08,-5.51405250349e-08,5.11120283875e-08,-1.38002405947e-07,-1.63674300779e-08,4.09441653915e-08,1.20027616504e-05,0.0,-1.23747582847e-07,-1.7891741777e-07,7.76243638256e-08,-3.08652602143e-07,-7.58119824695e-08,5.51405250349e-08,-1.23747582847e-07,1.7891741777e-07,1.26474233184e-05,0.0,4.82901839405e-07,5.69659903249e-07,5.11120283875e-08,1.38002405947e-07,7.76243638256e-08,3.08652602143e-07,4.82901839405e-07,-5.69659903249e-07,1.33769926833e-05,0.0
1630616622310137963,height,4,32,width,4,8,imag,2,2,0,8.0563559095e-06,0.0,-1.11450173534e-08,3.7477956738e-08,-5.62289450556e-08,-3.99992892142e-08,1.91363387358e-08,-7.38087422292e-08,-1.11450173534e-08,-3.7477956738e-08,1.17621193567e-05,0.0,-9.25598442336e-08,-8.55711945746e-08,8.50957277976e-08,-4.21373044901e-07,-5.62289450556e-08,3.99992892142e-08,-9.25598442336e-08,8.55711945746e-08,1.26705936054e-05,0.0,5.51780658498e-07,4.91111677547e-07,1.91363387358e-08,7.38087422292e-08,8.50957277976e-08,4.21373044901e-07,5.51780658498e-07,-4.91111677547e-07,1.350751063e-05,0.0
1630616622437616801,height,4,32,width,4,8,imag,2,2,0,8.00239376986e-06,0.0,3.76594542217e-08,1.22571947259e-07,-1.81714323588e-08,-2.54902055019e-08,4.36656577563e-08,-1.47785934601e-08,3.76594542217e-08,-1.22571947259e-07,1.20062049973e-05,0.0,-9.98193172563e-08,-1.85153751886e-07,1.25314784327e-07,-3.46330551793e-07,-1.81714323588e-08,2.54902055019e-08,-9.98193172563e-08,1.85153751886e-07,1.27820385387e-05,0.0,4.80530388813e-07,5.31932471404e-07,4.36656577563e-08,1.47785934601e-08,1.25314784327e-07,3.46330551793e-07,4.80530388813e-07,-5.31932471404e-07,1.3334140931e-05,0.0
