%time,field.layout.dim0.label,field.layout.dim0.size,field.layout.dim0.stride,field.layout.dim1.label,field.layout.dim1.size,field.layout.dim1.stride,field.layout.dim2.label,field.layout.dim2.size,field.layout.dim2.stride,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31
1626472188443286630,height,4,32,width,4,8,imag,2,2,0,0.00029632190126,0.0,6.70371155138e-05,-0.00137017271481,-0.00288525689393,1.3596523786e-05,-0.00971207208931,-0.00524734938517,6.70371155138e-05,0.00137017271481,0.00636777142063,0.0,-0.000702547782566,-0.0133548835292,0.0221527535468,-0.0460612177849,-0.00288525689393,-1.3596523786e-05,-0.000702547782566,0.0133548835292,0.0282998438925,0.0,0.0936186313629,0.0510942228138,-0.00971207208931,0.00524734938517,0.0221527535468,0.0460612177849,0.0936186313629,-0.0510942228138,0.417420327663,0.0
1626472188447017243,height,4,32,width,4,8,imag,2,2,0,0.000296352314763,0.0,6.70366789564e-05,-0.00137023138814,-0.00288539985195,1.35621748996e-05,-0.00971245672554,-0.00524765625596,6.70366789564e-05,0.00137023138814,0.00636764802039,0.0,-0.00070234015584,-0.0133546935394,0.0221532341093,-0.0460605621338,-0.00288539985195,-1.35621748996e-05,-0.00070234015584,0.0133546935394,0.0282995570451,0.0,0.0936179086566,0.0510939210653,-0.00971245672554,0.00524765625596,0.0221532341093,0.0460605621338,0.0936179086566,-0.0510939210653,0.417419910431,0.0
1626472188582447461,height,4,32,width,4,8,imag,2,2,0,0.000160794545081,0.0,0.00016403956397,-0.000742581614759,-0.00135282427073,-6.16592369624e-05,-0.00473169377074,-0.00316221732646,0.00016403956397,0.000742581614759,0.00360974529758,0.0,-0.00108506320976,-0.00631953310221,0.00982644874603,-0.025076745078,-0.00135282427073,6.16592369624e-05,-0.00108506320976,0.00631953310221,0.0115009453148,0.0,0.0407425165176,0.0245562791824,-0.00473169377074,0.00316221732646,0.00982644874603,0.025076745078,0.0407425165176,-0.0245562791824,0.204580053687,0.0
1626472188587915518,height,4,32,width,4,8,imag,2,2,0,0.000160740455613,0.0,0.000164154043887,-0.000742412928957,-0.00135258119553,-6.18774720351e-05,-0.00473026325926,-0.00316257541999,0.000164154043887,0.000742412928957,0.00360966660082,0.0,-0.00108517403714,-0.00631943112239,0.00982637424022,-0.0250764023513,-0.00135258119553,6.18774720351e-05,-0.00108517403714,0.00631943112239,0.0115009015426,0.0,0.0407418832183,0.0245571807027,-0.00473026325926,0.00316257541999,0.00982637424022,0.0250764023513,0.0407418832183,-0.0245571807027,0.204579740763,0.0
1626472188722183860,height,4,32,width,4,8,imag,2,2,0,5.37307442983e-08,0.0,3.02021574417e-10,-5.70345382034e-10,-3.98855384276e-08,-8.6148826961e-10,-1.00539043757e-09,-2.48127420832e-08,3.02021574417e-10,5.70345382034e-10,2.52823042501e-06,0.0,3.45312400896e-08,7.64711849399e-09,-2.75523017734e-08,5.02974595307e-09,-3.98855384276e-08,8.6148826961e-10,3.45312400896e-08,-7.64711849399e-09,4.78939318782e-06,0.0,1.52963082201e-08,2.18368782612e-07,-1.00539043757e-09,2.48127420832e-08,-2.75523017734e-08,-5.02974595307e-09,1.52963082201e-08,-2.18368782612e-07,6.13859901932e-06,0.0
1626472188759052090,height,4,32,width,4,8,imag,2,2,0,5.33173256656e-08,0.0,2.86027007634e-10,-2.94738655704e-09,-3.80006959233e-08,-9.7687957723e-10,-5.57022039605e-10,-2.30048229355e-08,2.86027007634e-10,2.94738655704e-09,2.52438576354e-06,0.0,3.49924604848e-08,3.39269212724e-09,-2.5831415229e-08,5.32114219354e-09,-3.80006959233e-08,9.7687957723e-10,3.49924604848e-08,-3.39269212724e-09,4.79155733046e-06,0.0,1.34775293148e-08,2.24131341042e-07,-5.57022039605e-10,2.30048229355e-08,-2.5831415229e-08,-5.32114219354e-09,1.34775293148e-08,-2.24131341042e-07,6.14209147898e-06,0.0
1626472188894234942,height,4,32,width,4,8,imag,2,2,0,5.33922808188e-08,0.0,-3.00357227978e-09,2.69928052132e-10,-3.37431060871e-08,-2.77613865229e-09,-2.60467025726e-09,-1.76438295085e-08,-3.00357227978e-09,-2.69928052132e-10,2.52250697486e-06,0.0,-1.02280495184e-08,2.42356468227e-09,-1.30216308847e-08,1.24119630129e-08,-3.37431060871e-08,2.77613865229e-09,-1.02280495184e-08,-2.42356468227e-09,4.71754083264e-06,0.0,6.66674324634e-08,1.65665937857e-07,-2.60467025726e-09,1.76438295085e-08,-1.30216308847e-08,-1.24119630129e-08,6.66674324634e-08,-1.65665937857e-07,6.19946604274e-06,0.0
1626472188968445051,height,4,32,width,4,8,imag,2,2,0,5.34600701485e-08,0.0,-2.59096077926e-09,4.14870415799e-10,-3.42467743053e-08,-7.77779285421e-10,-2.00320782184e-09,-2.10064072803e-08,-2.59096077926e-09,-4.14870415799e-10,2.52472182183e-06,0.0,-1.43078286996e-08,3.33236238603e-09,-1.02087023279e-08,1.49610634992e-08,-3.42467743053e-08,7.77779285421e-10,-1.43078286996e-08,-3.33236238603e-09,4.71888006359e-06,0.0,6.90798387382e-08,1.6266342584e-07,-2.00320782184e-09,2.10064072803e-08,-1.02087023279e-08,-1.49610634992e-08,6.90798387382e-08,-1.6266342584e-07,6.19846605332e-06,0.0
1626472189059452653,height,4,32,width,4,8,imag,2,2,0,5.30724975079e-08,0.0,-5.55778922884e-10,2.96860314108e-09,-3.53404274733e-08,3.14221226816e-09,-7.66870833502e-09,-2.11340829281e-08,-5.55778922884e-10,-2.96860314108e-09,2.55542659033e-06,0.0,2.36286590294e-09,-4.92306018174e-09,2.08005279667e-09,1.03354356185e-08,-3.53404274733e-08,-3.14221226816e-09,2.36286590294e-09,4.92306018174e-09,4.77610001326e-06,0.0,1.12794298346e-08,2.21746589091e-07,-7.66870833502e-09,2.11340829281e-08,2.08005279667e-09,-1.03354356185e-08,1.12794298346e-08,-2.21746589091e-07,6.15803310211e-06,0.0
1626472189143887590,height,4,32,width,4,8,imag,2,2,0,5.3657675636e-08,0.0,-1.04460262662e-09,1.99168237458e-09,-3.52278739513e-08,2.56359711237e-09,-6.39204600361e-09,-2.21885372298e-08,-1.04460262662e-09,-1.99168237458e-09,2.55626673606e-06,0.0,2.3161832452e-09,-3.55511420302e-09,6.29092611337e-11,6.73341382651e-09,-3.52278739513e-08,-2.56359711237e-09,2.3161832452e-09,3.55511420302e-09,4.78349556943e-06,0.0,5.56302204302e-09,2.22752731815e-07,-6.39204600361e-09,2.21885372298e-08,6.29092611337e-11,-6.73341382651e-09,5.56302204302e-09,-2.22752731815e-07,6.15769249634e-06,0.0
